Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age (day),Concrete compressive strength (MPa),Category
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99,3
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89,3
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27,2
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05,2
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3,2
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03,2
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7,2
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45,2
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,2
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07,2
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.02,2
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01,2
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33,2
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81,2
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91,3
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36,2
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14,3
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.56,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62,2
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84,2
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.24,2
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06,1
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21,2
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52,3
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.3,3
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15,2
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12,3
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6,2
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26,3
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91,3
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13,2
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69,3
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41,2
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08,2
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72,2
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23,2
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25,2
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46,3
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.7,2
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0,2
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1,3
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54,2
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.08,2
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05,1
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76,2
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26,2
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82,2
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78,2
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93,2
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.12,2
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19,2
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59,1
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.64,1
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.93,2
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13,1
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.95,3
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.02,2
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38,3
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73,3
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87,1
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66,3
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,48.7,2
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.06,3
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7,2
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.28,2
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.86,2
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.99,3
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4,2
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.8,2
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,2
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3,2
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0,2
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.8,2
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.2,2
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,2
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1,2
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,41.3,2
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,2
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2,2
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,41.1,2
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,2
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.3,2
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,28.6,2
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,2
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,24.4,1
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,2
439.0,177.0,0.0,186.0,11.1,884.9,707.9,3,39.3,2
